School Number,Board Number,School Name,School Type,School Level,Phone Number,School Website
410870,B28010,Northern Heights Public School,Public,Elementary,705-945-7128,http://www.adsb.on.ca/sites/schools/nhs/default.aspx
434922,B28010,Parkland Public School,Public,Elementary,705-945-7129,http://www.adsb.on.ca/sites/schools/pps/default.aspx
442054,B28010,Pinewood Public School,Public,Elementary,705-945-7133,http://www.adsb.on.ca/sites/schools/pin/default.aspx
462616,B28010,Queen Elizabeth Public School,Public,Elementary,705-945-7132,http://www.adsb.on.ca/sites/schools/qes/default.aspx
468339,B28010,R M Moore Public School,Public,Elementary,705-945-7135,http://www.adsb.on.ca/sites/schools/rmm/default.aspx
485497,B28010,River View Public School,Public,Elementary,705-945-7134,http://www.adsb.on.ca/sites/schools/rvs/default.aspx
515396,B28010,Sir James Dunn Public School,Public,Elementary,705-856-2517,http://www.adsb.on.ca/sites/schools/sje/default.aspx
530603,B28010,St Joseph Island Central Public School,Public,Elementary,705-246-2618,http://www.adsb.on.ca/sites/schools/sjo/default.aspx
958050,B28010,Superior Heights Collegiate and Vocational School,Public,Secondary,,http://www.adsb.on.ca/sites/schools/shs/default.aspx
672610,B28010,Superior Heights Community Education,Public,Elementary,705-945-7142,http://www.adsb.on.ca/sites/schools/shc/default.aspx
106913,B28010,Superior Heights Intermediate School,Public,Elementary,705-945-7499,http://www.adsb.on.ca/sites/schools/sis/default.aspx
548413,B28010,Tarentorus Public School,Public,Elementary,705-945-7138,http://www.adsb.on.ca/sites/schools/tps/default.aspx
551660,B28010,Thessalon Public School,Public,Elementary,705-842-2410,http://www.adsb.on.ca/sites/schools/the/default.aspx
895270,B28010,W C Eaket Secondary School,Public,Secondary,705-356-2221,http://www.adsb.on.ca/sites/schools/wce/default.aspx
953148,B28010,White Pines Collegiate and Vocational School,Public,Secondary,705-945-7181,http://www.adsb.on.ca/sites/schools/wps/default.aspx
144872,B28010,White Pines Intermediate School,Public,Elementary,705-945-7181,http://www.adsb.on.ca/sites/schools/wpi/default.aspx
765031,B67202,Archbishop O'Sullivan Catholic School,Catholic,Elementary,613-389-1891,https://www.alcdsb.on.ca/school/abos/Pages/default.aspx
827681,B67202,Cathedrale Catholic School,Catholic,Elementary,613-546-7555,https://www.alcdsb.on.ca/school/ecth/Pages/default.aspx
708011,B67202,Georges Vanier Catholic School,Catholic,Elementary,613-962-7541,https://www.alcdsb.on.ca/school/gvan/Pages/default.aspx
715298,B67202,Holy Cross Catholic Secondary School,Catholic,Secondary,613-384-1919,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx
717703,B67202,Holy Name Catholic School,Catholic,Elementary,613-542-8611,https://www.alcdsb.on.ca/school/name/Pages/default.aspx
865257,B67202,Holy Name of Mary Catholic School,Catholic,Elementary,613-396-2741,https://www.alcdsb.on.ca/school/namm/Pages/default.aspx
719919,B67202,Holy Rosary Catholic School,Catholic,Elementary,613-962-2305,https://www.alcdsb.on.ca/school/rosa/Pages/default.aspx
735523,B67202,J J O'Neill Catholic School,Catholic,Elementary,613-354-9500,https://www.alcdsb.on.ca/school/jjon/Pages/default.aspx
728420,B67202,Loyola Community Learning Centre,Catholic,Secondary,613-544-3361,https://www.learningatloyola.ca/campus/kingston/
835099,B67202,Nicholson Catholic College,Catholic,Secondary,613-967-0404,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx
690932,B67202,Nicholson Catholic College (Grade 7 & 8),Catholic,Elementary,613-394-3526,
742279,B67202,Our Lady of Fatima Catholic School,Catholic,Elementary,613-962-2162,https://www.alcdsb.on.ca/school/ofat/Pages/default.aspx
746568,B67202,Our Lady of Lourdes Catholic School,Catholic,Elementary,613-389-2800,https://www.alcdsb.on.ca/school/lady/Pages/default.aspx
746690,B67202,Our Lady of Mercy Catholic School,Catholic,Elementary,613-332-3300,https://www.alcdsb.on.ca/school/omer/Pages/default.aspx
706264,B67202,Our Lady of Mount Carmel Catholic School,Catholic,Elementary,613-389-1122,https://www.alcdsb.on.ca/school/olmc/Pages/default.aspx
752932,B67202,Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,613-545-1902,www.alcdsb.on.ca/school/regi
756830,B67202,Sacred Heart Catholic School,Catholic,Elementary,613-472-2625,https://www.alcdsb.on.ca/school/shrm/Pages/default.aspx
764370,B67202,Sacred Heart Catholic School,Catholic,Elementary,613-398-6393,https://www.alcdsb.on.ca/school/shrb/Pages/default.aspx
868370,B67202,Sacred Heart Catholic School,Catholic,Elementary,613-385-2348,https://www.alcdsb.on.ca/school/shrt/Pages/default.aspx
781142,B67202,St Carthagh Catholic School,Catholic,Elementary,613-478-2601,https://www.alcdsb.on.ca/school/cart/Pages/default.aspx
756642,B67202,St Francis of Assisi Catholic School,Catholic,Elementary,613-546-5981,https://www.alcdsb.on.ca/school/stfa/Pages/default.aspx
796220,B67202,St Gregory Catholic School,Catholic,Elementary,613-476-2461,https://www.alcdsb.on.ca/school/greg/Pages/default.aspx
799556,B67202,St James Major,Catholic,Elementary,613-279-3300,https://www.alcdsb.on.ca/school/jams/Pages/default.aspx
815330,B67202,St Joseph Catholic School,Catholic,Elementary,613-962-3653,https://www.alcdsb.on.ca/school/jose/Pages/default.aspx
830984,B67202,St Marguerite Bourgeoys Catholic School,Catholic,Elementary,613-549-4499,https://www.alcdsb.on.ca/school/marg/Pages/default.aspx
823570,B67202,St Martha Catholic School,Catholic,Elementary,613-544-4050,https://www.alcdsb.on.ca/school/mart/Pages/default.aspx
824330,B67202,St Martin of Tours Catholic School,Catholic,Elementary,613-637-2720,https://www.alcdsb.on.ca/school/marn/Pages/default.aspx
831840,B67202,St Mary Catholic School,Catholic,Elementary,613-392-3538,https://www.alcdsb.on.ca/school/stmt/Pages/default.aspx
865125,B67202,St Mary Catholic School,Catholic,Elementary,613-396-5430,https://www.alcdsb.on.ca/school/stms/Pages/default.aspx
834688,B67202,St Michael Catholic School,Catholic,Elementary,613-968-5765,https://www.alcdsb.on.ca/school/mich/Pages/default.aspx
764248,B67202,St Patrick Catholic School,Catholic,Elementary,613-379-2991,https://www.alcdsb.on.ca/school/stpe/Pages/default.aspx
841773,B67202,St Patrick Catholic School,Catholic,Elementary,613-372-2251,https://www.alcdsb.on.ca/school/stph/Pages/default.aspx
706744,B67202,St Paul Catholic Elementary School,Catholic,Elementary,613-394-4843,www.alcdsb.on.ca/school/pass
842761,B67202,St Paul Catholic School,Catholic,Elementary,613-542-6101,https://www.alcdsb.on.ca/school/paul/Pages/default.aspx
841358,B67202,St Paul Catholic Secondary School,Catholic,Secondary,613-394-4843,www.alcdsb.on.ca/school/pass
845493,B67202,St Peter Catholic School,Catholic,Elementary,613-392-6577,https://www.alcdsb.on.ca/school/pett/Pages/default.aspx
851752,B67202,St Theresa Catholic Secondary School,Catholic,Secondary,613-968-6993,www.alcdsb.on.ca/school/thss
856150,B67202,St Thomas More Catholic School,Catholic,Elementary,613-542-1575,https://www.alcdsb.on.ca/school/sttm/Pages/default.aspx
834301,B67202,St. Genevieve Catholic School/Ecole Catholique Sainte-Genevieve,Catholic,Elementary,,
724068,B67202,St. John XXIII Catholic School,Catholic,Elementary,613-389-4388,https://www.alcdsb.on.ca/school/john/Pages/default.aspx
773875,B67202,St. Teresa of Calcutta Catholic School,Catholic,Elementary,613-384-8644,https://www.alcdsb.on.ca/school/trsa/Pages/default.aspx
019313,B66010,Anne Hathaway Public School,Public,Elementary,519-271-8576,annehathaway.amdsb.ca
893048,B66010,Avon Maitland District E-learning Centre,Public,Secondary,519-482-5428,amdec.avonmaitlandsecondary.ca
028673,B66010,Avon Public School,Public,Elementary,519-271-2905,avon.amdsb.ca
039306,B66010,Bedford Public School,Public,Elementary,519-273-1190,bedford.amdsb.ca
272319,B66010,Bluewater Coast Elementary Public School,Public,Elementary,519-262-2833,bluewatercoast.amdsb.ca
066699,B66010,Brookside Public School,Public,Elementary,519-529-7900,brookside.amdsb.ca
899569,B66010,Central Huron Secondary School,Public,Secondary,519-482-3471,chss.amdsb.ca
093718,B66010,Central Perth Elementary School,Public,Elementary,519-393-5300,http://www.avonmaitlandschools.ca/centralperth/
112917,B66010,Clinton Public School,Public,Elementary,519-482-9424,clinton.amdsb.ca
145912,B66010,Downie Central Public School,Public,Elementary,519-393-6196,downie.amdsb.ca
175170,B66010,Elma Township Public School,Public,Elementary,519-356-2241,elma.amdsb.ca
190527,B66010,Exeter Elementary School,Public,Elementary,519-235-2630,exeter.amdsb.ca
953776,B66010,F E Madill Secondary School,Public,Secondary,519-357-1800,femss.amdsb.ca
181908,B66010,F. E. Madill Elementary,Public,Elementary,519-357-1800,femss.amdsb.ca
450242,B66010,GDCI - Elementary,Public,Elementary,519-524-7353,gdci.amdsb.ca
913600,B66010,Goderich District Collegiate Institute,Public,Secondary,519-524-7353,gdci.amdsb.ca
478133,B66010,Goderich Public School,Public,Elementary,519-524-8972,goderich.amdsb.ca
242527,B66010,Hamlet Public School,Public,Elementary,519-271-2826,hamlet.amdsb.ca
268003,B66010,Howick Central Public School,Public,Elementary,519-335-3566,howick.amdsb.ca
268640,B66010,Hullett Central Public School,Public,Elementary,519-523-4201,hullett.amdsb.ca
273694,B66010,Huron Centennial Public School,Public,Elementary,519-233-3330,huroncentennial.amdsb.ca
923095,B66010,Listowel District Secondary School,Public,Secondary,519-291-1880,ldss.amdsb.ca
163619,B66010,Listowel Eastdale Public School,Public,Elementary,519-291-2930,listoweleastdale.amdsb.ca
285535,B66010,Little Falls Public School,Public,Elementary,519-284-3615,littlefalls.amdsb.ca
517103,B66010,Maitland River Elementary Public School,Public,Elementary,519-357-3551,maitlandriver.amdsb.ca
366021,B66010,Milverton Public School,Public,Elementary,519-595-8859,milverton.amdsb.ca
135064,B66010,Mitchell District Elementary Public School,Public,Elementary,519-348-8495,mdhs.amdsb.ca
927120,B66010,Mitchell District High School,Public,Secondary,519-348-8495,mdhs.amdsb.ca
372781,B66010,Mornington Central Public School,Public,Elementary,519-595-8995,mornington.amdsb.ca
406040,B66010,North Easthope Public School,Public,Elementary,519-625-8398,northeasthope.amdsb.ca
459441,B66010,North Perth Westfield Elementary School,Public,Elementary,519-291-6147,westfield.amdsb.ca
578519,B66010,North Woods Elementary School,Public,Elementary,519-887-6601,northwoods.amdsb.ca
490040,B66010,Romeo Public School,Public,Elementary,519-271-4487,romeo.amdsb.ca
504475,B66010,Seaforth Public School,Public,Elementary,519-527-0790,seaforth.amdsb.ca
507725,B66010,Shakespeare Public School,Public,Elementary,519-271-3727,shakespeare.amdsb.ca
943118,B66010,South Huron District High School,Public,Secondary,519-235-0880,shdhs.amdsb.ca
469900,B66010,South Huron Elementary Public School,Public,Elementary,519-235-0880,shdhs.amdsb.ca
523267,B66010,South Perth Centennial Public School,Public,Elementary,519-229-8920,southperth.amdsb.ca
528650,B66010,Sprucedale Public School,Public,Elementary,519-625-8722,sprucedale.amdsb.ca
944807,B66010,St Marys D.C. & V. I. High School,Public,Secondary,519-284-1731,smdcvi.amdsb.ca
100438,B66010,St Marys D.C. & V.I. - Elementary Elementary Public School,Public,Elementary,519-284-1731,smdcvi.amdsb.ca
535508,B66010,Stephen Central Public School,Public,Elementary,519-234-6302,stephen.amdsb.ca
893395,B66010,Stratford District Secondary School,Public,Secondary,519-271-9740,sdss.amdsb.ca
097284,B66010,Stratford Intermediate School,Public,Elementary,519-271-4500,stratfordintermediate.amdsb.ca
566667,B66010,Upper Thames Elementary School,Public,Elementary,519-348-8472,upperthames.amdsb.ca
417556,B80012,Bloorview School Authority,Hospital,Elementary,416-424-3831,http://www.bloorviewschool.ca
010472,B66001,Alexandra Community School,Public,Elementary,519-376-6306,http://www.alx.bwdsb.on.ca
011606,B66001,Amabel-Sauble Community School,Public,Elementary,519-422-3805,http://www.sau.bwdsb.on.ca
022322,B66001,Arran Tara Elementary School,Public,Elementary,519-934-2560,http://www.tar.bwdsb.on.ca
552585,B66001,Beaver Valley Community School,Public,Elementary,519-599-5991,http://www.bvc.bwdsb.on.ca
340804,B66001,Beavercrest Community School,Public,Elementary,519-986-2990,http://www.bcc.bwdsb.on.ca
918587,B66001,Bluewater Alternative Education School,Public,Secondary,519-363-2014,
067709,B66001,Bruce Peninsula District School,Public,Elementary,519-793-3211,http://www.bpds.bwdsb.on.ca/
896969,B66001,Bruce Peninsula District School,Public,Secondary,519-793-3211,http://www.bpds.bwdsb.on.ca/
169200,B66001,Chesley District Community School,Public,Elementary,519-363-2344,http://www.cdc.bwdsb.on.ca/
135143,B66001,Dawnview Public School,Public,Elementary,519-364-1891,http://www.dnv.bwdsb.on.ca
458554,B66001,Dundalk & Proton Community School,Public,Elementary,519-923-2622,http://www.pro.bwdsb.on.ca/
331307,B66001,East Ridge Community School,Public,Elementary,,http://www.erc.bwdsb.on.ca/
167649,B66001,Egremont Community School,Public,Elementary,519-334-3640,http://www.egr.bwdsb.on.ca
293776,B66001,Elgin Market Public School,Public,Elementary,519-396-8115,http://www.emp.bwdsb.on.ca
524239,B66001,G C Huston Public School,Public,Elementary,519-797-3241,http://www.hus.bwdsb.on.ca
180789,B66001,Georgian Bay Community School,Public,Elementary,519-538-1680,http://www.gbss.bwdsb.on.ca/
925438,B66001,Georgian Bay Community School Secondary School,Public,Secondary,519-538-1680,http://www.gbss.bwdsb.on.ca
914444,B66001,Grey Highlands Secondary School,Public,Secondary,519-924-2721,http://www.ghss.bwdsb.on.ca
281131,B66001,Hanover Heights Community School,Public,Elementary,519-364-2910,http://www.han.bwdsb.on.ca
253316,B66001,Hepworth Central Public School,Public,Elementary,519-935-2061,http://www.hep.bwdsb.on.ca
152820,B66001,Highpoint Community Elementary School,Public,Elementary,519-923-2336,http://www.hpe.bwdsb.on.ca
257168,B66001,Hillcrest Central School,Public,Elementary,519-392-6811,http://www.tee.bwdsb.on.ca
257869,B66001,Hillcrest Elementary School,Public,Elementary,519-376-1771,http://www.hil.bwdsb.on.ca
262935,B66001,Holland-Chatsworth Central School,Public,Elementary,519-794-2729,http://www.hol.bwdsb.on.ca
273775,B66001,Huron Heights Public School,Public,Elementary,519-396-7035,http://www.hhe.bwdsb.on.ca
007681,B66001,John Diefenbaker Senior School,Public,Elementary,,
915556,B66001,John Diefenbaker Senior School,Public,Secondary,519-364-3770,http://www.jdss.bwdsb.on.ca
291030,B66001,Keppel-Sarawak Elementary School,Public,Elementary,519-376-1789,http://www.kep.bwdsb.on.ca
919454,B66001,Kincardine District Secondary School,Public,Secondary,519-396-9151,http://www.kdss.bwdsb.on.ca
151668,B66001,Kincardine District Senior School,Public,Elementary,519-396-9151,http://www.kdss.bwdsb.on.ca/
293750,B66001,Kincardine Township-Tiverton Public School,Public,Elementary,519-396-3371,http://www.kin.bwdsb.on.ca
323900,B66001,Lucknow Central Public School,Public,Elementary,519-528-3022,http://www.luc.bwdsb.on.ca
198978,B66001,Macphail Memorial Elementary School,Public,Elementary,519-924-2752,http://www.mac.bwdsb.on.ca
364290,B66001,Mildmay-Carrick Central School,Public,Elementary,519-367-5548,http://www.mld.bwdsb.on.ca
401129,B66001,Normanby Community School,Public,Elementary,519-665-7783,http://www.nor.bwdsb.on.ca
403741,B66001,Northport Elementary School,Public,Elementary,519-832-9077,http://www.nop.bwdsb.on.ca
093939,B66001,Osprey Central School,Public,Elementary,519-922-2341,http://www.osp.bwdsb.on.ca
951692,B66001,Owen Sound District Secondary School Secondary School,Public,Secondary,519-376-6050,http://www.osdss.bwdsb.on.ca
431028,B66001,Paisley Central School,Public,Elementary,519-353-5691,http://www.pai.bwdsb.on.ca
605743,B66001,Peninsula Shores District School,Public,Elementary,519-534-2205,http://www.psd.bwdsb.on.ca
953253,B66001,Peninsula Shores District School,Public,Secondary,519-534-2205,http://www.psd.bwdsb.on.ca
450910,B66001,Port Elgin-Saugeen Central School,Public,Elementary,519-832-2038,http://www.pte.bwdsb.on.ca
484970,B66001,Ripley-Huron Community - Junior Campus School,Public,Elementary,519-395-2651,http://www.rip.bwdsb.on.ca
940127,B66001,Saugeen District Secondary School,Public,Secondary,519-832-2091,http://www.sdss.bwdsb.on.ca
290604,B66001,Saugeen District Senior School,Public,Elementary,,http://www.sdss.bwdsb.on.ca
155683,B66001,Spruce Ridge Community School,Public,Elementary,519-369-2217,http://www.spr.bwdsb.on.ca
529826,B66001,St Edmunds Public School,Public,Elementary,519-596-2390,http://www.sed.bwdsb.on.ca/
540200,B66001,Sullivan Community School,Public,Elementary,519-794-2785,http://www.sul.bwdsb.on.ca
569565,B66001,Walkerton District Community School,Public,Elementary,519-881-1780,http://www.wdcs.bwdsb.on.ca/
950262,B66001,Walkerton District Community School,Public,Secondary,519-881-1780,http://www.wdss.bwdsb.on.ca
688088,B67164,Assumption College School High School,Catholic,Secondary,519-751-2030,http://www.assumptionlions.com/
690015,B67164,Blessed Sacrament School,Catholic,Elementary,519-449-2984,http://www.blessedsacramentburford.ca/
696900,B67164,Christ the King School,Catholic,Elementary,519-759-4211,http://www.christthekingbrantford.ca/
714453,B67164,Holy Cross School,Catholic,Elementary,519-756-5032,http://www.holycrossbrantford.ca/
716960,B67164,Holy Family School,Catholic,Elementary,519-442-5333,http://www.holyfamilyparis.ca/
720232,B67164,Holy Trinity Catholic High School,Catholic,Secondary,519-429-3600,http://www.trinitycatholic.ca/
750259,B67164,Madonna Della Libera Catholic Elementary School,Catholic,Elementary,519-753-5283,http://www.jeanvanierbrantford.ca/
736481,B67164,Notre Dame Catholic Catholic Elementary School,Catholic,Elementary,905-765-0649,http://www.notredamecaledonia.ca/
739200,B67164,Notre Dame School,Catholic,Elementary,519-756-2288,http://www.notredamebrantford.ca/
743968,B67164,Our Lady of Fatima School,Catholic,Elementary,519-688-0049,http://www.ourladyoffatimacourtland.ca/
749125,B67164,Our Lady of Providence Catholic Elementary School,Catholic,Elementary,519-758-5056,http://www.olop.ca/
753084,B67164,Resurrection School,Catholic,Elementary,519-752-5900,http://www.resurrectionbrantford.ca/
762756,B67164,Sacred Heart Catholic Elementary School,Catholic,Elementary,519-442-4443,http://www.sacredheartparis.ca/
759309,B67164,Sacred Heart School,Catholic,Elementary,519-875-2556,http://www.sacredheartlangton.ca/
751898,B67164,St John's College,Catholic,Secondary,519-759-2318,http://www.sjconline.ca/
704940,B67164,St. Basil Catholic Elementary School,Catholic,Elementary,519-752-4111,http://www.stbasilbrantford.ca/
779067,B67164,St. Bernard of Clairvaux School,Catholic,Elementary,519-443-8607,http://www.stbernardofclairvauxwaterford.ca/
782050,B67164,St. Cecilia's School,Catholic,Elementary,519-583-0231,http://www.stceciliaportdover.ca/
789984,B67164,St. Frances Cabrini School,Catholic,Elementary,519-582-2470,http://www.stfrancescabrinidelhi.ca/
793256,B67164,St. Gabriel Catholic Catholic Elementary School,Catholic,Elementary,519-756-4706,http://www.stgabrielbrantford.ca/
810827,B67164,St. Joseph's School,Catholic,Elementary,519-426-0820,http://www.stjosephsimcoe.ca/
818453,B67164,St. Leo School,Catholic,Elementary,519-759-3314,http://www.stleobrantford.ca/
706139,B67164,St. Mary Catholic Learning Centre,Catholic,Secondary,519-753-0552,http://www.stmaryclc.ca/
852434,B67164,St. Mary Catholic Learning Centre Day,Catholic,Secondary,519-753-0552,http://www.stmaryclc.ca/
831450,B67164,St. Mary's School,Catholic,Elementary,905-768-5151,http://www.stmaryhagersville.ca/
834831,B67164,St. Michael's C School,Catholic,Elementary,519-426-5462,http://www.stmichaelwalsh.ca/
834963,B67164,St. Michael's School,Catholic,Elementary,905-774-6052,http://www.stmichaeldunnville.ca/
840530,B67164,St. Patrick School,Catholic,Elementary,519-759-0380,http://www.stpatrickbrantford.ca/
840556,B67164,St. Patrick's School,Catholic,Elementary,905-765-4626,http://www.stpatrickcaledonia.ca/
844977,B67164,St. Peter School,Catholic,Elementary,519-752-1611,http://www.stpeterbrantford.ca/
846791,B67164,St. Pius X Catholic Elementary School,Catholic,Elementary,519-753-6422,http://www.stpiusxbrantford.ca/
850950,B67164,St. Stephen's School,Catholic,Elementary,905-772-3863,http://www.ststephencayuga.ca/
853038,B67164,St. Theresa School,Catholic,Elementary,519-753-8953,http://www.sttheresabrantford.ca/
721255,B67008,Ecole Immaculee-Conception Separate School,Catholic,Elementary,519-367-2900,http://ics.bgcdsb.org/
711985,B67008,Holy Family Separate School,Catholic,Elementary,519-364-2760,http://hfs.bgcdsb.org/
710296,B67008,Mary Immaculate Community School,Catholic,Elementary,519-366-2731,http://misbgcdsb.sharpschool.com/
737399,B67008,Notre Dame Catholic School,Catholic,Elementary,519-371-0161,http://ndmbgcdsb.sharpschool.com/
759430,B67008,Sacred Heart High School,Catholic,Secondary,519-881-1900,http://shhs.bgcdsb.org/
732133,B67008,Sacred Heart School,Catholic,Elementary,519-367-2685,http://mshbgcdsb.sharpschool.com/
864218,B67008,Sacred Heart Separate School,Catholic,Elementary,519-392-6854,http://tshbgcdsb.sharpschool.com/
774332,B67008,St Anthony's Separate School,Catholic,Elementary,519-396-4330,http://stabgcdsb.sharpschool.com/home/
776602,B67008,St Basil's Separate School,Catholic,Elementary,519-376-9370,http://stbbgcdsb.sharpschool.com/
751464,B67008,St Joseph's School,Catholic,Elementary,519-389-5495,http://stjbgcdsb.sharpschool.com/
776599,B67008,St Mary's High School,Catholic,Secondary,519-376-4278,http://smhs.bgcdsb.org/
705098,B67008,St Peter's & St Paul's Separate School,Catholic,Elementary,519-369-2932,http://stp.bgcdsb.org/
732800,B67008,St Teresa of Calcutta Catholic School,Catholic,Elementary,519-881-1852,http://mtsbgcdsb.sharpschool.com/
689610,B67172,Bishop Macdonell Separate School,Catholic,Elementary,613-933-6739,http://www.bishopmacdonell.cdsbeo.on.ca/
715131,B67172,Holy Cross School,Catholic,Elementary,613-258-7457,www.holycross.cdsbeo.on.ca
828203,B67172,Holy Name of Mary Separate School,Catholic,Elementary,613-256-2532,www.hnom.cdsbeo.on.ca
821553,B67172,Holy Trinity Catholic Elementary School,Catholic,Elementary,613-936-0319,http://www.holytrinityfalcons.cdsbeo.on.ca/
715190,B67172,Holy Trinity Catholic Secondary School,Catholic,Secondary,613-936-0319,http://www.holytrinityfalcons.cdsbeo.on.ca/
696269,B67172,Iona Academy,Catholic,Elementary,613-347-3518,http://www.ionaacademy.cdsbeo.on.ca
691127,B67172,J L Jordan Separate School,Catholic,Elementary,613-342-7711,http://www.jljordan.cdsbeo.on.ca/
736457,B67172,Notre Dame Catholic High School,Catholic,Secondary,613-253-4700,http://www.notredame.cdsbeo.on.ca/
697630,B67172,Notre Dame Catholic Separate School,Catholic,Elementary,613-253-4700,http://www.notredame.cdsbeo.on.ca/
741361,B67172,Our Lady of Good Counsel Separate School,Catholic,Elementary,613-537-2556,http://www.ourlady.cdsbeo.on.ca/
759040,B67172,Sacred Heart School,Catholic,Elementary,613-933-3337,http://www.sacredheart.cdsbeo.on.ca/
758787,B67172,Sacred Heart of Jesus Separate School,Catholic,Elementary,613-259-2113,http://www.cdsbeo.on.ca/?school=sacred-heart-of-jesus-catholic-school
769312,B67172,St Andrew's Separate School,Catholic,Elementary,613-932-6592,http://www.standrews.cdsbeo.on.ca
771651,B67172,St Anne's School,Catholic,Elementary,613-933-4615,http://www.stanne.cdsbeo.on.ca
788686,B67172,St Edward's School,Catholic,Elementary,613-273-2926,http://www.stedward.cdsbeo.on.ca/
806102,B67172,St Finnan's Catholic School,Catholic,Elementary,613-525-4274,http://stfinnans.cdsbeo.on.ca
751502,B67172,St Francis Xavier Catholic High School,Catholic,Secondary,613-487-2913,http://www.stfx-hammond.cdsbeo.on.ca
792365,B67172,St Francis Xavier Elementary School,Catholic,Elementary,613-487-2913,http://www.stfx-hammond.cdsbeo.on.ca
792322,B67172,St Francis Xavier Separate School,Catholic,Elementary,613-342-0510,http://www.stfrancisxavier.cdsbeo.on.ca/
791938,B67172,St Francis de Sales Separate School,Catholic,Elementary,613-283-6101,http://www.stfrancisdesales.cdsbeo.on.ca
803022,B67172,St John Bosco Catholic School,Catholic,Elementary,613-498-0656,http://www.stjohnbosco.cdsbeo.on.ca
804800,B67172,St John Catholic High School,Catholic,Secondary,613-267-4724,http://www.stjohnchs.cdsbeo.on.ca/
802700,B67172,St John Elementary School,Catholic,Elementary,613-267-2865,http://www.stjohnelementary.cdsbeo.on.ca
806277,B67172,St Joseph's Secondary School,Catholic,Secondary,613-932-0349,http://sjcss.ca/
