SDSB_ID,DISTRICT,TYPE,LANGUAGE,STREET,CITY,POSTAL_COD,PHONE,FAX,WEBSITE,DSB_NUMBER,X_COORD,Y_COORD,AREA,NAME,BOARD_NAME,BOARD_NUM,Shape_Leng,Shape_Area
46,Central,Catholic,English,802 Drury Lane,Burlington,L7R3Y2,9056326300,9053334661,http://www.haltonrc.edu.on.ca,67113.00000000000,-79.89287000000,43.51374000000,977.73990050000,Halton Catholic DSB,Halton Catholic District School Board,B67113,1.70294803897,0.10850695324
39,West,Catholic,English,430 Christina St S,Sarnia,N7T2N8,5193366139,5193367993,http://www.st-clair.net,67040.00000000000,-82.12519000000,42.67031000000,5531.17600962000,St Clair Catholic DSB,St. Clair Catholic District School Board,B67040,7.66424745352,0.60386192676
52,East,Catholic,English,2755 Hwy 43,Kemptville,K0G1J0,6132587757,6132585067,http://www.cdsbeo.on.ca,67172.00000000000,-75.60021000000,45.03813000000,12124.45982950000,Catholic DSB of Eastern Ontario,Catholic District School Board of Eastern Ontario,B67172,11.26720929810,1.38644608861
34A,North,Catholic,English,115 Mary St W.,Thunder Bay,P7E4K5,8076251555,8076230431,http://www.tbcdsb.on.ca,29068.00000000000,-89.50249000000,48.42612000000,4916.76667109000,Thunder Bay Catholic DSB,Thunder Bay Catholic District School Board,B29068,10.10957779840,0.60094002936
42,Central,Catholic,English,320 Bloomington Rd W,Aurora,L4G3G8,9057132711,9057131272,http://www.ycdsb.edu.on.ca,67075.00000000000,-79.43773000000,44.02020000000,1778.49767666000,York Catholic DSB,York Catholic District School Board,B67075,2.81125682372,0.19937411504
43,Central,Catholic,English,40 Matheson Blvd W,Mississauga,L5R1C5,9058901221,9058907610,http://cs.dprcssb.edu.on.ca,67083.00000000000,-80.02592000000,43.91650000000,2757.06559869000,Dufferin-Peel Catholic DSB,Dufferin-Peel Catholic District School Board,B67083,3.21158571383,0.30848491314
53,East,Catholic,English,1695 Merivale Rd,Nepean,K2G3R4,6132242222,6132245063,http://www.occdsb.on.ca,67180.00000000000,-75.77215000000,45.28888000000,2808.04879149000,Ottawa Catholic SB,Ottawa Catholic School Board,B67180,3.59046745778,0.32270029551
34B,North,Catholic,English,13 Simcoe Plaza,Terrace Bay,P0T2W0,8078253209,8078253885,http://www.superiornorthcatholicdsb.,29076.00000000000,-86.51338000000,48.93405000000,18626.17242280000,Superior North Catholic DSB,Superior North Catholic District School Board,B29076,21.62075263030,2.29647252730
41,East,Catholic,English,1355 Lansdowne St. W,Peterborough,K9J7M3,7057484861,7057489734,http://pvnccdsb.on.ca,67067.00000000000,-78.38483000000,44.41250000000,10344.31387200000,Peterborough Victoria Northumberland and Clarington Catholic DSB,Peterborough Victoria Northumberland and Clarington Catholic District School Board,B67067,6.01378670738,1.16843544958
40,Toronto,Catholic,English,80 Sheppard Ave E,Toronto,M2N6E8,4162228282,4162295353,http://www.tcdsb.on.ca,67059.00000000000,-79.39040000000,43.72659000000,636.34965571000,Toronto Catholic DSB,Toronto Catholic District School Board,B67059,2.27036793326,0.07090968586
32,North,Catholic,English,165-A D'Youville St.,Sudbury,P4N6M9,7056735620,7056881781,http://www.scdsb.edu.on.ca,29033.00000000000,-80.91660000000,46.38030000000,9298.65859582000,Sudbury Catholic DSB,Sudbury Catholic District School Board,B29033,19.12109303500,1.09167110745
30B,North,Catholic,English,1140 Front St.,North Bay,P1B6P2,7054721201,7054720507,http://www.npsc.edu.gov.on.ca,29017.00000000000,-79.43953000000,46.14360000000,11152.40094930000,Nipissing-Parry Sound Catholic DSB,Nipissing-Parry Sound Catholic District School Board,B29017,10.22646899590,1.30321174841
