NAME,SDSB_ID,DISTRICT,TYPE,LANGUAGE,STREET,CITY,POSTAL_COD,PHONE,FAX,WEBSITE,DSB_NUMBER,AREA_,X_COORD,Y_COORD,BOARD_NAME,REGION,BOARD_NUM,Shape_Leng,Shape_Area
Upper Grand DSB,18,West,Public,English,500 Victoria Rd N,Guelph,N1E6K2,5198224420,5198269534,http://ugdsb.on.ca,66117.00000000000,0.00000000000,-80.47133000000,43.84094000000,Upper Grand District School Board,CENTRAL,B66117,4.25147201162,0.46961760691
Limestone DSB,27,East,Public,English,220 Portsmouth Ave,Kingston,K7L4X4,6135446920,6135446804,http://www.limestone.on.ca,66206.00000000000,0.00000000000,-76.85485000000,44.64163000000,Limestone District School Board,EAST,B66206,8.77164613275,0.81787763848
Simcoe County DSB,17,Central,Public,English,1170 Highway 26,Midhurst,L0L1X0,7057287570,7057282265,http://www.scdsb.on.ca,66109.00000000000,0.00000000000,-79.68786000000,44.44149000000,Simcoe County District School Board,CENTRAL,B66109,8.95580885882,0.55544550046
Bluewater DSB,7,West,Public,English,351 1st Ave W,Chesley,N0G1L0,5193632014,5193633448,http://www.bwdsb.on.ca,66001.00000000000,0.00000000000,-81.00266000000,44.61788000000,Bluewater District School Board,SOUTH WEST,B66001,10.57214513600,0.98312208074
Rainy River DSB,5B,North,Public,English,522 Second St E,Fort Frances,P9N3Z7,8072749855,8072745078,http://rrdsb.com,28053.00000000000,0.00000000000,-92.95644000000,48.94187000000,Rainy River District School Board,NORTH WEST,B28053,17.44439587990,1.29654823751
Hamilton-Wentworth DSB,21,West,Public,English,100 Main St W,Hamilton,L8N3L1,9055275092,9055212539,http://www.hwdsb.on.ca,66141.00000000000,0.00000000000,-79.93475000000,43.26060000000,Hamilton-Wentworth District School Board,CENTRAL,B66141,2.35034069935,0.12483746089
Thames Valley DSB,11,West,Public,English,1250 Dundas St E,London,N6A5L1,5194522000,5194522395,http://www.tvdsb.on.ca,66044.00000000000,0.00000000000,-81.13599000000,42.91304000000,Thames Valley District School Board,SOUTH WEST,B66044,4.69647439500,0.80237248236
Grand Erie DSB,23,West,Public,English,349 Erie Ave,Brantford,N3T5V3,5197566301,5197569181,http://www.gedsb.on.ca/schools/index,66168.00000000000,0.00000000000,-80.09092000000,42.92270000000,Grand Erie District School Board,CENTRAL,B66168,4.78619036826,0.44826044227
Halton DSB,20,Central,Public,English,2050 Guelph Line,Burlington,L7R3Z2,9053353663,8953359802,http://www.haltonbe.on.ca,66133.00000000000,0.00000000000,-79.89322000000,43.50745000000,Halton District School Board,GTA,B66133,1.69548688305,0.10851681074
Hastings and Prince Edward DSB,29,East,Public,English,156 Ann St.,Belleville,K8N1N9,6139661170,6139666023,http://www.hpedsb.on.ca,66222.00000000000,0.00000000000,-77.38698000000,44.63838000000,Hastings & Prince Edward District School Board,EAST,B66222,10.34125093370,0.81819973521
Peel DSB,19,Central,Public,English,5650 Hurontario St,Mississauga,L5R1C6,9058901099,9058906747,http://www.peelschools.org,66125.00000000000,0.00000000000,-79.84251000000,43.73549000000,Peel District School Board,GTA,B66125,1.90717447496,0.14043031908
Toronto DSB,12,Toronto,Public,English,155 College St,Toronto,M5T1P6,4163973000,4163930889,http://www.tdsb.on.ca,66052.00000000000,0.00000000000,-79.37724000000,43.71805000000,Toronto District School Board,GTA,B66052,2.24778403538,0.07094056529
Durham DSB,13,East,Public,English,400 Taunton Rd. E,Whitby,L1R2K6,9056665500,9056666318,http://www.durham.edu.gov.on.ca,66060.00000000000,0.00000000000,-79.01565000000,44.15541000000,Durham District School Board,GTA,B66060,2.85133318062,0.22025297212
Upper Canada DSB,26,East,Public,English,25 Central Ave W,Brockville,K6V5X1,6133420371,6133420277,http://www.ucdsb.on.ca,66192.00000000000,0.00000000000,-75.55626000000,44.96549000000,Upper Canada District School Board,EAST,B66192,11.15154246070,1.38652194504
Near North DSB,4,North,Public,English,200 McIntyre St E,North Bay,P1B8H1,705472817,7054729927,http://www.nearnorth.edu.on.ca,28037.00000000000,0.00000000000,-79.66410000000,45.96002000000,Near North District School Board,NORTH EAST,B28037,28.94763841490,2.00946830238
Rainbow DSB,3,North,Public,English,69 Young St,Sudbury,P3E3G5,7056743171,7056749112,http://www.rainbow.edu.on.ca,28029.00000000000,0.00000000000,-81.37386000000,46.31162000000,Rainbow District School Board,NORTH EAST,B28029,37.37124326070,1.73274932270
DSB Ontario North East,1,North,Public,English,153 Third Ave,Timmins,P4N7H7,7053601151,7052686866,http://www.dsv1.edu.on.ca,28002.00000000000,0.00000000000,-80.08166000000,48.23208000000,District School Board Ontario North East,NORTH EAST,B28002,24.62817891430,3.03088549194
Algoma DSB,2,North,Public,English,644 Albert St E,Sault Ste Mari,P6A2K7,7059457111,7059422540,http://www.adsb.on.ca,28010.00000000000,0.00000000000,-83.22251000000,46.38901000000,Algoma District School Board,NORTH EAST,B28010,25.01095296660,1.13933378633
Keewatin-Patricia DSB,5A,North,Public,English,100 First Ave,Kenora,P9N3Z7,8074685571,8074683857,http://www.kpdsb.on.ca,28045.00000000000,0.00000000000,-93.39439000000,50.72313000000,Keewatin-Patricia District School Board,NORTH WEST,B28045,26.11486606710,0.91518851113
Lakehead DSB,6A,North,Public,English,2135 Sills St,Thunder Bay,P7E5T2,8076255100,8076220961,http://www.lhbe.edu.on.ca,28061.00000000000,0.00000000000,-89.52328000000,48.46046000000,Lakehead District School Board,NORTH WEST,B28061,11.44323333840,0.62705113761
Renfrew County DSB,28,East,Public,English,1270 Pembroke St W,Pembroke,K8A4G4,6137350151,6137356315,http://www.renfrew.edu.on.ca,66214.00000000000,7851.10700000000,-77.36356000000,45.69514000000,Renfrew County District School Board,EAST,B66214,9.71239355289,1.00532653169
