School Number,Board Number,School Name,School Type,School Level,Street,Municipality,City,Province,Postal Code,Fax Number,Latitude,Longitude,Phone Number,School Website
165042,B28010,Echo Bay Central Public School,Public,Elementary,290 Church St,Macdonald Meredith et al,Echo Bay,Ontario,P0S1C0,705-248-2045,46.48567,-84.0637,705-248-2271,http://www.adsb.on.ca/sites/schools/ech/default.aspx
293055,B28010,Elliot Lake Intermediate School,Public,Elementary,303 Mississauga Avenue,Elliot Lake,Elliot Lake,Ontario,P5A1E8,,46.3761958,-82.66064332,705-848-7162,
908010,B28010,Elliot Lake Secondary School,Public,Secondary,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-0103,46.37627,-82.6611,705-848-7162,http://www.adsb.on.ca/sites/schools/els/default.aspx
186783,B28010,Esten Park Public School,Public,Elementary,115 Hergott Ave,Elliot Lake,Elliot Lake,Ontario,P5A3B4,705-848-9406,46.37191,-82.6198,705-848-2601,http://www.adsb.on.ca/sites/schools/est/default.aspx
202614,B28010,Francis H Clergue Public School,Public,Elementary,80 Weldon Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B3C6,705-945-7144,46.51862,-84.3096,705-945-7136,http://www.adsb.on.ca/sites/schools/fhc/default.aspx
227331,B28010,Grand View Public School,Public,Elementary,161 Denwood Dr,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5R4,705-945-7403,46.50955,-84.2659,705-945-7148,http://www.adsb.on.ca/sites/schools/gvs/default.aspx
230561,B28010,Greenwood Public School,Public,Elementary,8 Fourth Line W,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K8,705-945-7402,46.56732,-84.3528,705-945-7118,http://www.adsb.on.ca/sites/schools/gps/default.aspx
237191,B28010,H M Robbins Public School,Public,Elementary,83 East Balfour St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C1X4,705-945-7399,46.5328,-84.3895,705-945-7119,http://www.adsb.on.ca/sites/schools/hmr/default.aspx
917370,B28010,Hornepayne High School,Public,Secondary,162 Fourth Avenue,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2126,49.21525,-84.7789,807-868-2475,http://www.adsb.on.ca/sites/schools/hhs/default.aspx
264750,B28010,Hornepayne Public School,Public,Elementary,162 Fourth Ave,Hornepayne,Hornepayne,Ontario,P0M1Z0,807-868-2126,49.2167,-84.78,807-868-2503,http://www.adsb.on.ca/sites/schools/hor/default.aspx
278270,B28010,Isabel Fletcher Public School,Public,Elementary,599 Third Line,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7204,46.55114,-84.3789,705-945-7120,http://www.adsb.on.ca/sites/schools/isf/default.aspx
302350,B28010,Kiwedin Public School,Public,Elementary,735 North St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C4,705-945-7208,46.54201,-84.3351,705-945-7124,http://www.adsb.on.ca/sites/schools/kps/default.aspx
920533,B28010,Korah Collegiate and Vocational School,Public,Secondary,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-0750,46.54269,-84.3816,705-945-7180,http://www.adsb.on.ca/sites/schools/kor/default.aspx
018309,B28010,Korah Intermediate School,Public,Elementary,636 Goulais Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6C5A7,705-945-0750,46.54247,-84.3821,705-945-7180,http://www.adsb.on.ca/sites/schools/kis/default.aspx
926086,B28010,Michipicoten High School,Public,Secondary,86 Magpie Rd,Michipicoten,Wawa,Ontario,P0S1K0,705-856-1948,47.99317,-84.7758,705-856-4464,http://www.adsb.on.ca/sites/schools/mic/default.aspx
195200,B28010,Mountain View Public School,Public,Elementary,Mahler Rd 1,Sault Ste. Marie,Goulais River,Ontario,P0S1E0,705-649-0786,46.77124,-84.3616,705-649-2130,http://www.adsb.on.ca/sites/schools/mvs/default.aspx
891150,B28010,North Shore Adolescent Education School,Public,Secondary,303 Mississauga Ave,Elliot Lake,Elliot Lake,Ontario,P5A1E8,705-848-5634,46.37987,-82.6565,705-848-1088,
410870,B28010,Northern Heights Public School,Public,Elementary,210 Grand Blvd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4S8,705-945-7319,46.53072,-84.329,705-945-7128,http://www.adsb.on.ca/sites/schools/nhs/default.aspx
434922,B28010,Parkland Public School,Public,Elementary,54 Amber St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5G1,705-945-7131,46.51456,-84.2582,705-945-7129,http://www.adsb.on.ca/sites/schools/pps/default.aspx
442054,B28010,Pinewood Public School,Public,Elementary,3924 Queen St E,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7225,46.52417,-84.2477,705-945-7133,http://www.adsb.on.ca/sites/schools/pin/default.aspx
462616,B28010,Queen Elizabeth Public School,Public,Elementary,139 Elizabeth St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A3Z5,705-945-7288,46.50658,-84.3041,705-945-7132,http://www.adsb.on.ca/sites/schools/qes/default.aspx
468339,B28010,R M Moore Public School,Public,Elementary,1272 Base Line,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A6K4,705-945-7401,46.52177,-84.4441,705-945-7135,http://www.adsb.on.ca/sites/schools/rmm/default.aspx
485497,B28010,River View Public School,Public,Elementary,51 Wireless Ave,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B1L4,705-945-7339,46.51751,-84.299,705-945-7134,http://www.adsb.on.ca/sites/schools/rvs/default.aspx
515396,B28010,Sir James Dunn Public School,Public,Elementary,36 McKinley Ave,Michipicoten,Wawa,Ontario,P0S1K0,705-856-2974,47.99693,-84.7728,705-856-2517,http://www.adsb.on.ca/sites/schools/sje/default.aspx
530603,B28010,St Joseph Island Central Public School,Public,Elementary,1326 Richards St,St. Joseph,Richards Landing,Ontario,P0R1J0,705-246-0511,46.28922,-84.0347,705-246-2618,http://www.adsb.on.ca/sites/schools/sjo/default.aspx
958050,B28010,Superior Heights Collegiate and Vocational School,Public,Secondary,750 north street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,,46.50845,-84.2882,,http://www.adsb.on.ca/sites/schools/shs/default.aspx
672610,B28010,Superior Heights Community Education,Public,Elementary,750 North Avenue,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B2C5,705-945-7390,46.53951,-84.3349,705-945-7142,http://www.adsb.on.ca/sites/schools/shc/default.aspx
106913,B28010,Superior Heights Intermediate School,Public,Elementary,750 North Street,Sault Ste. Marie,Sault Ste. Marie,Ontario,P6B2C5,705-945-7497,46.53951,-84.3349,705-945-7499,http://www.adsb.on.ca/sites/schools/sis/default.aspx
548413,B28010,Tarentorus Public School,Public,Elementary,96 Northwood St,Sault Ste. Marie,Sault Ste Marie,Ontario,P6B4M4,705-945-7414,46.54554,-84.3085,705-945-7138,http://www.adsb.on.ca/sites/schools/tps/default.aspx
551660,B28010,Thessalon Public School,Public,Elementary,90 Stanley St,Thessalon,Thessalon,Ontario,P0R1L0,705-842-0129,46.2604,-83.559,705-842-2410,http://www.adsb.on.ca/sites/schools/the/default.aspx
895270,B28010,W C Eaket Secondary School,Public,Secondary,147 Woodward Ave,Blind River,Blind River,Ontario,P0R1B0,705-356-2596,46.18877,-82.9467,705-356-2221,http://www.adsb.on.ca/sites/schools/wce/default.aspx
953148,B28010,White Pines Collegiate and Vocational School,Public,Secondary,1007 Trunk Rd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-0726,46.52684,-84.256,705-945-7181,http://www.adsb.on.ca/sites/schools/wps/default.aspx
144872,B28010,White Pines Intermediate School,Public,Elementary,1007 Trunk Road,Sault Ste. Marie,SAULT STE. MARIE,Ontario,P6A5K9,,46.52799,-84.2599,705-945-7181,http://www.adsb.on.ca/sites/schools/wpi/default.aspx
765031,B67202,Archbishop O'Sullivan Catholic School,Catholic,Elementary,974 Pembridge Cres,Kingston,Kingston,Ontario,K7P1A3,613-389-8409,44.2496,-76.5849,613-389-1891,https://www.alcdsb.on.ca/school/abos/Pages/default.aspx
827681,B67202,Cathedrale Catholic School,Catholic,Elementary,301 Johnson St,Kingston,Kingston,Ontario,K7L1Y5,613-546-0760,44.23167,-76.491,613-546-7555,https://www.alcdsb.on.ca/school/ecth/Pages/default.aspx
708011,B67202,Georges Vanier Catholic School,Catholic,Elementary,100 Tracey St E,Belleville,Belleville,Ontario,K8P2R8,613-391-0169,44.18404,-77.4013,613-962-7541,https://www.alcdsb.on.ca/school/gvan/Pages/default.aspx
715298,B67202,Holy Cross Catholic Secondary School,Catholic,Secondary,1085 Woodbine Rd,Kingston,Kingston,Ontario,K7P2V9,613-384-8665,44.25899,-76.5987,613-384-1919,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx
717703,B67202,Holy Name Catholic School,Catholic,Elementary,370 Kingston Mills Road,Kingston,Kingston,Ontario,K7L5H6,613-549-6979,44.30068,-76.4242,613-542-8611,https://www.alcdsb.on.ca/school/name/Pages/default.aspx
865257,B67202,Holy Name of Mary Catholic School,Catholic,Elementary,7314 Old Highway 2 RR1,Tyendinaga,Marysville,Ontario,K0K2N0,613-396-6554,44.22671,-77.1368,613-396-2741,https://www.alcdsb.on.ca/school/namm/Pages/default.aspx
719919,B67202,Holy Rosary Catholic School,Catholic,Elementary,10 Prince of Wales Dr,Belleville,Belleville,Ontario,K8P2T4,613-391-0168,44.17815,-77.3845,613-962-2305,https://www.alcdsb.on.ca/school/rosa/Pages/default.aspx
735523,B67202,J J O'Neill Catholic School,Catholic,Elementary,240 Marilyn Ave,Greater Napanee,Napanee,Ontario,K7R2L4,613-345-6970,44.24701,-76.9636,613-354-9500,https://www.alcdsb.on.ca/school/jjon/Pages/default.aspx
728420,B67202,Loyola Community Learning Centre,Catholic,Secondary,1440 Princess Street,Kingston,Kingston,Ontario,K7M3E5,613-547-0999,44.2508,-76.5329,613-544-3361,https://www.learningatloyola.ca/campus/kingston/
835099,B67202,Nicholson Catholic College,Catholic,Secondary,301 Church St,Belleville,Belleville,Ontario,K8N3C7,613-967-1963,44.16855,-77.3825,613-967-0404,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx
690932,B67202,Nicholson Catholic College (Grade 7 & 8),Catholic,Elementary,228 Dundas Street,Belleville,Trenton,Ontario,K8V3R4,,44.163489,-77.367578,613-394-3526,
742279,B67202,Our Lady of Fatima Catholic School,Catholic,Elementary,300 Sidney St,Belleville,Belleville,Ontario,K8P3Z3,613-962-5935,44.16552,-77.4014,613-962-2162,https://www.alcdsb.on.ca/school/ofat/Pages/default.aspx
746568,B67202,Our Lady of Lourdes Catholic School,Catholic,Elementary,20 Cranbrook St,Kingston,Kingston,Ontario,K7M4M9,613-389-9551,44.22013,-76.5708,613-389-2800,https://www.alcdsb.on.ca/school/lady/Pages/default.aspx
746690,B67202,Our Lady of Mercy Catholic School,Catholic,Elementary,192 Bridge St W,Bancroft,Bancroft,Ontario,K0L1C0,613-332-0523,45.05601,-77.8624,613-332-3300,https://www.alcdsb.on.ca/school/omer/Pages/default.aspx
706264,B67202,Our Lady of Mount Carmel Catholic School,Catholic,Elementary,97 Park Cres,Loyalist,Amherstview,Ontario,K7N1L7,613-389-9684,44.2236,-76.6407,613-389-1122,https://www.alcdsb.on.ca/school/olmc/Pages/default.aspx
752932,B67202,Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,130 Russell St,Kingston,Kingston,Ontario,K7K2E9,613-548-4024,44.24334,-76.4939,613-545-1902,www.alcdsb.on.ca/school/regi
756830,B67202,Sacred Heart Catholic School,Catholic,Elementary,50 Bursthall St,Marmora and Lake,Marmora,Ontario,K0K2M0,613-472-0540,44.48104,-77.6787,613-472-2625,https://www.alcdsb.on.ca/school/shrm/Pages/default.aspx
764370,B67202,Sacred Heart Catholic School,Catholic,Elementary,31 Thomas Bata Blvd,Quinte West,Batawa,Ontario,K0K1E0,613-398-0589,44.17001,-77.5964,613-398-6393,https://www.alcdsb.on.ca/school/shrb/Pages/default.aspx
868370,B67202,Sacred Heart Catholic School,Catholic,Elementary,57 Hwy 95,Frontenac Islands,Wolfe Island,Ontario,K0H2Y0,613-385-1415,44.19003,-76.442,613-385-2348,https://www.alcdsb.on.ca/school/shrt/Pages/default.aspx
781142,B67202,St Carthagh Catholic School,Catholic,Elementary,114 Hungerford Rd,Tweed,Tweed,Ontario,K0K3J0,613-478-6127,44.47874,-77.317,613-478-2601,https://www.alcdsb.on.ca/school/cart/Pages/default.aspx
756642,B67202,St Francis of Assisi Catholic School,Catholic,Elementary,114 Wiley Street,Kingston,Kingston,Ontario,K7K5B5,613-546-0463,44.26086,-76.4907,613-546-5981,https://www.alcdsb.on.ca/school/stfa/Pages/default.aspx
796220,B67202,St Gregory Catholic School,Catholic,Elementary,7 Owen St,Prince Edward County,Picton,Ontario,K0K2T0,613-476-8937,44.00879,-77.1326,613-476-2461,https://www.alcdsb.on.ca/school/greg/Pages/default.aspx
799556,B67202,St James Major,Catholic,Elementary,14608 Hwy. #38,Essex,Sharbot Lake,Ontario,K0H2P0,613-279-1120,44.77277,-76.6883,613-279-3300,https://www.alcdsb.on.ca/school/jams/Pages/default.aspx
815330,B67202,St Joseph Catholic School,Catholic,Elementary,405 Bridge St E,Belleville,Belleville,Ontario,K8N1P7,613-391-0170,44.16896,-77.3584,613-962-3653,https://www.alcdsb.on.ca/school/jose/Pages/default.aspx
830984,B67202,St Marguerite Bourgeoys Catholic School,Catholic,Elementary,355 Waterloo Ave,Kingston,Kingston,Ontario,K7M8P5,613-549-9903,44.25374,-76.5534,613-549-4499,https://www.alcdsb.on.ca/school/marg/Pages/default.aspx
823570,B67202,St Martha Catholic School,Catholic,Elementary,455 St Martha St,Kingston,Kingston,Ontario,K7K7C2,613-544-5341,44.26573,-76.4467,613-544-4050,https://www.alcdsb.on.ca/school/mart/Pages/default.aspx
824330,B67202,St Martin of Tours Catholic School,Catholic,Elementary,62 Post Street,Timmins,Whitney,Ontario,K0J2M0,613-637-2873,45.49137,-78.2361,613-637-2720,https://www.alcdsb.on.ca/school/marn/Pages/default.aspx
831840,B67202,St Mary Catholic School,Catholic,Elementary,85 Campbell St,Quinte West,Trenton,Ontario,K8V3A2,613-392-2368,44.10885,-77.5662,613-392-3538,https://www.alcdsb.on.ca/school/stmt/Pages/default.aspx
865125,B67202,St Mary Catholic School,Catholic,Elementary,1285 Read Rd RR 1,Tyendinaga,Shannonville,Ontario,K0K3A0,613-396-6555,44.3069,-77.2217,613-396-5430,https://www.alcdsb.on.ca/school/stms/Pages/default.aspx
834688,B67202,St Michael Catholic School,Catholic,Elementary,273 Church St,Belleville,Belleville,Ontario,K8N3C7,613-391-0171,44.16771,-77.3821,613-968-5765,https://www.alcdsb.on.ca/school/mich/Pages/default.aspx
764248,B67202,St Patrick Catholic School,Catholic,Elementary,6041 HW Y 41,Stone Mills,Erinsville,Ontario,K0K2A0,613-379-5627,44.48645,-77.0527,613-379-2991,https://www.alcdsb.on.ca/school/stpe/Pages/default.aspx
841773,B67202,St Patrick Catholic School,Catholic,Elementary,3889 Wilton Rd,South Frontenac,Harrowsmith,Ontario,K0H1V0,613-372-2726,44.39978,-76.67,613-372-2251,https://www.alcdsb.on.ca/school/stph/Pages/default.aspx
706744,B67202,St Paul Catholic Elementary School,Catholic,Elementary,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-2684,44.0943,-77.5974,613-394-4843,www.alcdsb.on.ca/school/pass
842761,B67202,St Paul Catholic School,Catholic,Elementary,266 McMahon Ave,Kingston,Kingston,Ontario,K7M3H2,613-542-3784,44.24963,-76.5241,613-542-6101,https://www.alcdsb.on.ca/school/paul/Pages/default.aspx
841358,B67202,St Paul Catholic Secondary School,Catholic,Secondary,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-2684,44.09403,-77.5981,613-394-4843,www.alcdsb.on.ca/school/pass
845493,B67202,St Peter Catholic School,Catholic,Elementary,15A Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-392-3191,44.09989,-77.579,613-392-6577,https://www.alcdsb.on.ca/school/pett/Pages/default.aspx
851752,B67202,St Theresa Catholic Secondary School,Catholic,Secondary,135 Adam St,Belleville,Belleville,Ontario,K8N5S1,613-968-9470,44.19052,-77.3819,613-968-6993,www.alcdsb.on.ca/school/thss
856150,B67202,St Thomas More Catholic School,Catholic,Elementary,234 Norman Rogers Dr,Kingston,Kingston,Ontario,K7M2R4,613-544-3970,44.23513,-76.524,613-542-1575,https://www.alcdsb.on.ca/school/sttm/Pages/default.aspx
834301,B67202,St. Genevieve Catholic School/Ecole Catholique Sainte-Genevieve,Catholic,Elementary,386 Holden Street,Kingston,Kingston,Ontario,K7L4V2,,44.267484,-76.58967,,
724068,B67202,St. John XXIII Catholic School,Catholic,Elementary,736 High Gate Park Dr,Kingston,Kingston,Ontario,K7M5Z9,613-389-9995,44.24649,-76.6039,613-389-4388,https://www.alcdsb.on.ca/school/john/Pages/default.aspx
773875,B67202,St. Teresa of Calcutta Catholic School,Catholic,Elementary,1044 Lancaster Dr,Kingston,Kingston,Ontario,K7P2L6,613-384-0183,44.25586,-76.5982,613-384-8644,https://www.alcdsb.on.ca/school/trsa/Pages/default.aspx
019313,B66010,Anne Hathaway Public School,Public,Elementary,77 Bruce St,Stratford,Stratford,Ontario,N5A4A2,519-271-8516,43.3579,-80.972,519-271-8576,annehathaway.amdsb.ca
893048,B66010,Avon Maitland District E-learning Centre,Public,Secondary,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-8795,43.6186,-81.5326,519-482-5428,amdec.avonmaitlandsecondary.ca
028673,B66010,Avon Public School,Public,Elementary,31 Huntingdon Ave,Stratford,Stratford,Ontario,N5A6N7,519-271-0406,43.37444,-80.9979,519-271-2905,avon.amdsb.ca
039306,B66010,Bedford Public School,Public,Elementary,59 Bedford Dr,Stratford,Stratford,Ontario,N5A5J7,519-273-7001,43.3824,-80.9722,519-273-1190,bedford.amdsb.ca
272319,B66010,Bluewater Coast Elementary Public School,Public,Elementary,85 York Street,Bluewater,Hensall,Ontario,N0M1X0,519-262-2323,43.43146,-81.5015,519-262-2833,bluewatercoast.amdsb.ca
066699,B66010,Brookside Public School,Public,Elementary,36937 Belgrave Road RR 7,Ashfield-Colborne-Wawanosh,Lucknow,Ontario,N0G2H0,519-529-3142,43.89914,-81.5709,519-529-7900,brookside.amdsb.ca
899569,B66010,Central Huron Secondary School,Public,Secondary,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-9718,43.61681,-81.5337,519-482-3471,chss.amdsb.ca
093718,B66010,Central Perth Elementary School,Public,Elementary,4663 Road 135 RR 1,Perth East,Sebringville,Ontario,N0K1X0,519-393-5540,43.46305,-81.0266,519-393-5300,http://www.avonmaitlandschools.ca/centralperth/
112917,B66010,Clinton Public School,Public,Elementary,27 Percival St,Central Huron,Clinton,Ontario,N0M1L0,519-482-9775,43.61488,-81.532,519-482-9424,clinton.amdsb.ca
145912,B66010,Downie Central Public School,Public,Elementary,4384 Line 20 RR 2,Perth South,St Pauls,Ontario,N0K1V0,519-393-8168,43.32748,-81.0775,519-393-6196,downie.amdsb.ca
175170,B66010,Elma Township Public School,Public,Elementary,5972 Line 72 RR 2,North Perth,Atwood,Ontario,N0G1B0,519-356-2242,43.65629,-81.0259,519-356-2241,elma.amdsb.ca
190527,B66010,Exeter Elementary School,Public,Elementary,93 Victoria St E,South Huron,Exeter,Ontario,N0M1S1,519-235-3700,43.35124,-81.4776,519-235-2630,exeter.amdsb.ca
953776,B66010,F E Madill Secondary School,Public,Secondary,231 Madill Dr,North Huron,Wingham,Ontario,N0G2W0,519-357-4137,43.88247,-81.3064,519-357-1800,femss.amdsb.ca
181908,B66010,F. E. Madill Elementary,Public,Elementary,231 Madill Drive,North Huron,Wingham,Ontario,N0G2W0,519-357-4137,43.8824,-81.3064,519-357-1800,femss.amdsb.ca
450242,B66010,GDCI - Elementary,Public,Elementary,260 South St,Goderich,Goderich,Ontario,N7A3M5,519-524-1710,43.73417,-81.7112,519-524-7353,gdci.amdsb.ca
913600,B66010,Goderich District Collegiate Institute,Public,Secondary,260 South St,Goderich,Goderich,Ontario,N7A3M5,519-524-1710,43.73412,-81.7112,519-524-7353,gdci.amdsb.ca
478133,B66010,Goderich Public School,Public,Elementary,125 Blake St W,Goderich,Goderich,Ontario,N7A1Z1,519-524-4345,43.73468,-81.7164,519-524-8972,goderich.amdsb.ca
242527,B66010,Hamlet Public School,Public,Elementary,315 West Gore St,Stratford,Stratford,Ontario,N5A7N4,519-273-2577,43.3645,-80.9909,519-271-2826,hamlet.amdsb.ca
268003,B66010,Howick Central Public School,Public,Elementary,45010 Harriston Road RR 1,Howick,Gorrie,Ontario,N0G1X0,519-335-6567,43.88372,-81.054,519-335-3566,howick.amdsb.ca
268640,B66010,Hullett Central Public School,Public,Elementary,269 King St,Central Huron,Londesborough,Ontario,N0M2H0,519-523-9282,43.69759,-81.4775,519-523-4201,hullett.amdsb.ca
273694,B66010,Huron Centennial Public School,Public,Elementary,39978 Centennial Rd RR 1,Bluewater,Brucefield,Ontario,N0M1J0,519-233-3401,43.50722,-81.5155,519-233-3330,huroncentennial.amdsb.ca
923095,B66010,Listowel District Secondary School,Public,Secondary,155 Maitland Ave S,North Perth,Listowel,Ontario,N4W2M4,519-291-5590,43.72751,-80.9467,519-291-1880,ldss.amdsb.ca
163619,B66010,Listowel Eastdale Public School,Public,Elementary,365 Nichol Ave S,North Perth,Listowel,Ontario,N4W2M3,519-291-1982,43.72679,-80.9496,519-291-2930,listoweleastdale.amdsb.ca
285535,B66010,Little Falls Public School,Public,Elementary,25 Lindsay Atkinson Drive,St. Marys,St Marys,Ontario,N4X1B6,519-284-2193,43.25111,-81.1319,519-284-3615,littlefalls.amdsb.ca
517103,B66010,Maitland River Elementary Public School,Public,Elementary,250 John St E,North Huron,Wingham,Ontario,N0G2W0,519-357-2174,43.88225,-81.3033,519-357-3551,maitlandriver.amdsb.ca
366021,B66010,Milverton Public School,Public,Elementary,68 Mill St E,Perth East,Milverton,Ontario,N0K1M0,519-595-2392,43.56293,-80.915,519-595-8859,milverton.amdsb.ca
135064,B66010,Mitchell District Elementary Public School,Public,Elementary,95 Francis Street 5,West Perth,Mitchell,Ontario,N0K1N0,519-348-4224,43.47518,-81.1895,519-348-8495,mdhs.amdsb.ca
927120,B66010,Mitchell District High School,Public,Secondary,95 Frances St RR 5,West Perth,Mitchell,Ontario,N0K1N0,519-348-4224,43.47518,-81.1895,519-348-8495,mdhs.amdsb.ca
372781,B66010,Mornington Central Public School,Public,Elementary,7241 Road 131 RR 1,Perth East,Newton,Ontario,N0K1R0,519-595-8992,43.61469,-80.8846,519-595-8995,mornington.amdsb.ca
406040,B66010,North Easthope Public School,Public,Elementary,4672 Road 108 RR 1,Perth East,Stratford,Ontario,N5A6S2,519-625-8890,43.42512,-80.864,519-625-8398,northeasthope.amdsb.ca
459441,B66010,North Perth Westfield Elementary School,Public,Elementary,955 Binning Street,North Perth,Listowel,Ontario,N4W0G3,519-291-4667,43.74007,-80.9644,519-291-6147,westfield.amdsb.ca
578519,B66010,North Woods Elementary School,Public,Elementary,84925 Ethel Line,Huron East,Ethel,Ontario,N0G1T0,519-887-9843,43.71417,-81.145,519-887-6601,northwoods.amdsb.ca
490040,B66010,Romeo Public School,Public,Elementary,49 Rebecca St,Stratford,Stratford,Ontario,N5A3P2,519-271-2036,43.36905,-80.9779,519-271-4487,romeo.amdsb.ca
504475,B66010,Seaforth Public School,Public,Elementary,58 Chalk North St N,Huron East,Seaforth,Ontario,N0K1W0,519-527-2123,43.55481,-81.3889,519-527-0790,seaforth.amdsb.ca
507725,B66010,Shakespeare Public School,Public,Elementary,35 Mowat St,Stratford,Stratford,Ontario,N5A2B8,519-271-1284,43.36207,-80.9829,519-271-3727,shakespeare.amdsb.ca
943118,B66010,South Huron District High School,Public,Secondary,92 Gidley St E,South Huron,Exeter,Ontario,N0M1S6,519-235-3461,43.34951,-81.4774,519-235-0880,shdhs.amdsb.ca
469900,B66010,South Huron Elementary Public School,Public,Elementary,92 Gidley Street East,South Huron,Exeter,Ontario,N0M1S6,519-235-3461,43.34944,-81.4776,519-235-0880,shdhs.amdsb.ca
523267,B66010,South Perth Centennial Public School,Public,Elementary,1866 Road 163 RR 1,Perth South,St Marys,Ontario,N4X1C4,519-229-8231,43.26794,-81.193,519-229-8920,southperth.amdsb.ca
528650,B66010,Sprucedale Public School,Public,Elementary,2215 Fraser St,Perth East,Shakespeare,Ontario,N0B2P0,519-625-8886,43.36809,-80.8394,519-625-8722,sprucedale.amdsb.ca
944807,B66010,St Marys D.C. & V. I. High School,Public,Secondary,338 Elizabeth St,St. Marys,St Marys,Ontario,N4X1B6,519-284-4042,43.257,-81.1339,519-284-1731,smdcvi.amdsb.ca
